Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
1151720;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;636;85.960-124;Ativo
1151711;Terreno;;12697;BAIRRO MARECHAL;12;RIO GRANDE DO SUL;1;1;;85.960-300;Ativo
1151703;Unidade;149845;12680;BAIRRO HIGIENOPOLIS;443;ONOFRE MACHADO DE SOUZA;4;19;173;85.963-562;Ativo
1151690;Unidade;1110063;12681;BAIRRO PRIMAVERA;420;DO CEDRO;19;2;1386;85.963-152;Ativo
1151681;Unidade;1110063;12681;BAIRRO PRIMAVERA;420;DO CEDRO;19;2;1394;85.963-152;Ativo
1151673;Unidade;1105841;12693;BAIRRO ANDORINHA;12449;RELINDO WEBER;11;4;5200;85.966-126;Ativo
1151665;Unidade;1154630;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;5;05/A;1019;85.966-484;Ativo
1151657;Unidade;223433;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;5;05/B;1013;85.966-484;Ativo
1151649;Unidade;1075110;12681;BAIRRO PRIMAVERA;407;DAS CANELAS;1;13/14;5086;85.963-148;Ativo
1151614;Unidade;159964;11;DISTRITO DE SAO ROQUE;313;SALDANHA MARINHO;14;8;5150;85.977-003;Ativo
1151606;Unidade;192394363;12681;BAIRRO PRIMAVERA;642;PATO BRANCO;2;12/A;1785;85.963-176;Ativo
1151592;Unidade;192394371;12681;BAIRRO PRIMAVERA;642;PATO BRANCO;2;12/B;1777;85.963-176;Ativo
1151576;Unidade;105368;12686;BAIRRO ANA PAULA;17;TOCANTINS;3;16;1722;85.960-428;Ativo
1151568;Unidade;93270;8;DISTRITO DE NOVO TRES PASSOS;330;SALGADO FILHO;2;9;412;85.970-012;Ativo
1151550;Unidade;245178;12693;BAIRRO ANDORINHA;89;02 DE ABRIL;10;9;58;85.966-156;Ativo
1151541;Unidade;131636;12687;BAIRRO BARCELONA;391;PLANALTO;6;21;134;85.963-570;Ativo
1151533;Unidade;236748;12679;BAIRRO BOTAFOGO;109;MANAUS;5;14;363;85.963-294;Ativo
